2020-08-09 20:48:24
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.02, 0.94, 0.67
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
C_subscribe_subscription          14366713553669 ns   102618673995 ns            1
C_subscribe_subscription          14366727016736 ns   102632144779 ns            1
C_subscribe_subscription          14366742510872 ns   102647637650 ns            1
C_subscribe_subscription          14366756713114 ns   102661817041 ns            1
C_subscribe_subscription          14366767989917 ns   102673089378 ns            1
C_subscribe_subscription          14366782956170 ns   102688059016 ns            1
C_subscribe_subscription          14366798617002 ns   102703715173 ns            1
C_subscribe_subscription          14366811382748 ns   102716505594 ns            1
C_subscribe_subscription          14366824327493 ns   102729413348 ns            1
C_subscribe_subscription          14366840309622 ns   102745393594 ns            1
C_subscribe_subscription          14366855817689 ns   102760857581 ns            1
C_subscribe_subscription          14366867101675 ns   102772145689 ns            1
C_subscribe_subscription          14366881627774 ns   102786679120 ns            1
C_subscribe_subscription          14366897108707 ns   102802148090 ns            1
C_subscribe_subscription          14366910458036 ns   102815503248 ns            1
C_subscribe_subscription          14366922634784 ns   102827684630 ns            1
C_subscribe_subscription          14366937958997 ns   102843007032 ns            1
C_subscribe_subscription          14366954011655 ns   102859038670 ns            1
C_subscribe_subscription          14366965346650 ns   102870378057 ns            1
C_subscribe_subscription          14366979310985 ns   102884199270 ns            1
C_subscribe_subscription          14366995094391 ns   102899973998 ns            1
C_subscribe_subscription          14367009156254 ns   102914035347 ns            1
C_subscribe_subscription          14367020629290 ns   102925517440 ns            1
C_subscribe_subscription          14367036955512 ns   102941789299 ns            1
C_subscribe_subscription_mean     14366693329783 ns   102598497640 ns           50
C_subscribe_subscription_median   14366693806990 ns   102598935423 ns           50
C_subscribe_subscription_stddev    204043359 ns    203871943 ns           50
D_unsubscribe_subscription        14367088063717 ns   102992825464 ns            1
D_unsubscribe_subscription        14367121132900 ns   103025903356 ns            1
D_unsubscribe_subscription        14367141285541 ns   103045839586 ns            1
D_unsubscribe_subscription        14367173861931 ns   103078542896 ns            1
D_unsubscribe_subscription        14367190144191 ns   103094806979 ns            1
D_unsubscribe_subscription        14367223350807 ns   103127756143 ns            1
D_unsubscribe_subscription        14367240359986 ns   103144863649 ns            1
D_unsubscribe_subscription        14367273307040 ns   103177829540 ns            1
D_unsubscribe_subscription        14367290454548 ns   103194967368 ns            1
D_unsubscribe_subscription        14367323352828 ns   103227891617 ns            1
D_unsubscribe_subscription        14367340386785 ns   103244877469 ns            1
D_unsubscribe_subscription        14367373392309 ns   103277891767 ns            1
D_unsubscribe_subscription        14367390336045 ns   103294833239 ns            1
D_unsubscribe_subscription        14367421238508 ns   103325750765 ns            1
D_unsubscribe_subscription        14367440066471 ns   103344610355 ns            1
D_unsubscribe_subscription        14367471986230 ns   103376500966 ns            1
D_unsubscribe_subscription        14367490487897 ns   103394957915 ns            1
D_unsubscribe_subscription        14367523160249 ns   103427661256 ns            1
D_unsubscribe_subscription        14367540453700 ns   103444935906 ns            1
D_unsubscribe_subscription        14367575409167 ns   103479702151 ns            1
D_unsubscribe_subscription        14367591052191 ns   103495435291 ns            1
D_unsubscribe_subscription        14367624634164 ns   103528996549 ns            1
D_unsubscribe_subscription        14367640680515 ns   103545027553 ns            1
D_unsubscribe_subscription        14367674881190 ns   103579260408 ns            1
D_unsubscribe_subscription        14367691213138 ns   103595578159 ns            1
D_unsubscribe_subscription        14367725781244 ns   103630007933 ns            1
D_unsubscribe_subscription        14367741914868 ns   103645856590 ns            1
D_unsubscribe_subscription        14367775517307 ns   103679643892 ns            1
D_unsubscribe_subscription        14367791572081 ns   103695690431 ns            1
D_unsubscribe_subscription        14367834490073 ns   103738557256 ns            1
D_unsubscribe_subscription        14367846502350 ns   103750593111 ns            1
D_unsubscribe_subscription        14367881092875 ns   103785067741 ns            1
